Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
;;;;;;Mecodium
;;;;;;Mecomischus
;;;;;;Meconella
;;;;;;Meconopsis
;;;;;;Mecopus
;;;;;;Mecosorus
;;;;;;Mecostylis
;;;;;;Mecranium
;;;;;;Medemia
;;;;;;Medeola
;;;;;;Mediasia
;;;;;;Medica
;;;;;;Medicago
;;;;;;Medicosma
;;;;;;Medicusia
;;;;;;Medinilla
;;;;;;Medinillopsis
;;;;;;Mediocactus
;;;;;;Mediocalcar
;;;;;;Mediolobivia
;;;;;;Mediusella
;;;;;;Medranoa
;;;;;;Medusagyne
;;;;;;Medusandra
;;;;;;Medusanthera
;;;;;;Medyphylla
;;;;;;Meeboldia
;;;;;;Meeboldia
;;;;;;Meeboldina
;;;;;;Meehania
;;;;;;Meesia
;;;;;;Megacarpaea
;;;;;;Megacaryon
;;;;;;Megaceros
;;;;;;Megaclinium
;;;;;;Megacorax
;;;;;;Megadenia
;;;;;;Megahertzia
;;;;;;Megalachne
;;;;;;Megalastrum
;;;;;;Megaleranthis
;;;;;;Megalochlamys
;;;;;;Megalodonta
;;;;;;Megaloprotachne
;;;;;;Megalorchis
;;;;;;Megalostoma
;;;;;;Megalotheca
;;;;;;Megalotus
;;;;;;Megaphrynium
;;;;;;Megaphyllaea
;;;;;;Megapterium
;;;;;;Megarrhiza
;;;;;;Megasea
;;;;;;Megaskepasma
;;;;;;Megastachya
;;;;;;Megastigma
;;;;;;Megastylis
;;;;;;Megathyrsus
;;;;;;Megatritheca
;;;;;;Megistostegium
;;;;;;Megistostigma
;;;;;;Meiapinon
;;;;;;Meibomia
;;;;;;Meiemianthera
;;;;;;Meiena
;;;;;;Meineckia
;;;;;;Meiocarpidium
;;;;;;Meiogyne
;;;;;;Meionectes
;;;;;;Meionula
;;;;;;Meiostemon
;;;;;;Meiotheciella
;;;;;;Meiotheciopsis
;;;;;;Meiothecium
;;;;;;Meiotrichum
;;;;;;Meiracyllium
;;;;;;Meisneria
;;;;;;Meizotropis
;;;;;;Melachone
;;;;;;Meladendron
;;;;;;Meladerma
;;;;;;Melaleuca
;;;;;;Melampirum
;;;;;;Melampodium
;;;;;;Melampyrum
;;;;;;Melananthera
;;;;;;Melananthus
;;;;;;Melanchrysum
;;;;;;Melancium
;;;;;;Melancranis
;;;;;;Melandrium
;;;;;;Melanea
;;;;;;Melanium
;;;;;;Melanobatus
;;;;;;Melanocarya
;;;;;;Melanocenchris
;;;;;;Melanochyla
;;;;;;Melanococca
;;;;;;Melanocommia
;;;;;;Melanodendron
;;;;;;Melanodiscus
;;;;;;Melanolepis
;;;;;;Melanoloma
;;;;;;Melanophylla
;;;;;;Melanopsidium
;;;;;;Melanorrhea
;;;;;;Melanorrhoea
;;;;;;Melanosciadium
;;;;;;Melanoselinum
;;;;;;Melanoseris
;;;;;;Melanosinapis
;;;;;;Melanospermum
;;;;;;Melanostachya
;;;;;;Melanoxylon
;;;;;;Melanoxylum
;;;;;;Melanthera
;;;;;;Melanthesa
;;;;;;Melanthium
;;;;;;Melargyra
;;;;;;Melarhiza
;;;;;;Melascus
;;;;;;Melasma
;;;;;;Melasphaerula
;;;;;;Melastoma
;;;;;;Melastomastrum
;;;;;;Melhania
;;;;;;Melia
;;;;;;Meliadelpha
;;;;;;Melianthus
;;;;;;Melica
;;;;;;Melichrus
;;;;;;Melicocca
;;;;;;Melicoccus
;;;;;;Melicope
;;;;;;Melicytus
;;;;;;Melientha
;;;;;;Melilota
;;;;;;Melilotoides
;;;;;;Melilotus
;;;;;;Melinia
;;;;;;Melinis
;;;;;;Melinospermum
;;;;;;Meliocarpus
;;;;;;Melioschinzia
;;;;;;Meliosma
;;;;;;Melisitus
;;;;;;Melissa
;;;;;;Melissitus
;;;;;;Melissopsis
;;;;;;Melittacanthus
;;;;;;Melittis
;;;;;;Mella
;;;;;;Mellera
;;;;;;Mellichampia
;;;;;;Melliniella
;;;;;;Melliodendron
;;;;;;Mellitis
;;;;;;Melo
;;;;;;Melocactus
;;;;;;Melocalamus
;;;;;;Melocanna
;;;;;;Melocarpum
;;;;;;Melochia
;;;;;;Melodinus
;;;;;;Melodorum
;;;;;;Melolobium
;;;;;;Melongena
;;;;;;Melosperma
;;;;;;Melothria
;;;;;;Melpomene
;;;;;;Memecylanthus
;;;;;;Memecylon
;;;;;;Memora
;;;;;;Memorialis
;;;;;;Menais
;;;;;;Mendoncia
;;;;;;Mendoravia
;;;;;;Mendozia
;;;;;;Menendezia
;;;;;;Menepetalum
;;;;;;Menestoria
;;;;;;Menestrata
;;;;;;Menezesiella
;;;;;;Meninia
;;;;;;Meniscium
;;;;;;Meniscogyne
;;;;;;Menisorus
;;;;;;Menispermum
;;;;;;Menkea
;;;;;;Menkenia
;;;;;;Menodora
;;;;;;Menomphalus
;;;;;;Menonvillea
;;;;;;Mentha
;;;;;;Mentocalyx
;;;;;;Mentzelia
;;;;;;Menyanthes
;;;;;;Menziesia
;;;;;;Meonitis
;;;;;;Mephitidia
;;;;;;Meranthera
;;;;;;Meratia
;;;;;;Merceya
;;;;;;Merceyopsis
;;;;;;Merciera
;;;;;;Mercurialis
;;;;;;Merendera
;;;;;;Meriandra
;;;;;;Meriania
;;;;;;Merianthera
;;;;;;Mericarpaea
;;;;;;Merimea
;;;;;;Meringium
;;;;;;Merinthopodium
;;;;;;Merinthosorus
;;;;;;Meriolix
;;;;;;Merisma
;;;;;;Meristostylis
;;;;;;Meristotropis
;;;;;;Merkusia
;;;;;;Merleta
;;;;;;Merope
;;;;;;Merostachys
;;;;;;Merremia
;;;;;;Merrillanthus
;;;;;;Merrillia
;;;;;;Merrilliobryum
;;;;;;Merrilliodendron
;;;;;;Merrilliopanax
;;;;;;Merrittia
;;;;;;Mertensia
;;;;;;Mertensia
;;;;;;Merumea
;;;;;;Merwia
;;;;;;Merwilla
;;;;;;Merwiopsis
;;;;;;Merxmuellera
;;;;;;Meryta
;;;;;;Mesadenella
;;;;;;Mesadenia
;;;;;;Mesadenus
;;;;;;Mesanthemum
;;;;;;Mesanthophora
;;;;;;Mesaulosperma
;;;;;;Mesechinopsis
;;;;;;Mesechites
;;;;;;Mesembryanthemum
;;;;;;Mesembryanthus
;;;;;;Mesocentron
;;;;;;Mesoceros
;;;;;;Mesochaete
;;;;;;Mesochlaena
;;;;;;Mesodetra
;;;;;;Mesogramma
;;;;;;Mesogyne
;;;;;;Mesomelaena
;;;;;;Mesoneuris
;;;;;;Mesoneuron
;;;;;;Mesonodon
;;;;;;Mesophlebion
;;;;;;Mesopteris
;;;;;;Mesoptychia
;;;;;;Mesosetum
;;;;;;Mesosorus
;;;;;;Mesosphaerum
;;;;;;Mesospinidium
;;;;;;Mesostemma
;;;;;;Mesothema
;;;;;;Mesotus
;;;;;;Mespilodaphne
;;;;;;Mespilus
;;;;;;Messerschmidia
;;;;;;Mestoklema
;;;;;;Mesua
;;;;;;Mesyniopsis
;;;;;;Mesynium
;;;;;;Metabasis
;;;;;;Metabolos
;;;;;;Metacalypogeia
;;;;;;Metadina
;;;;;;Metadistichophyllum
;;;;;;Metaeritrichium
;;;;;;Metagentiana
;;;;;;Metagnanthus
;;;;;;Metagonia
;;;;;;Metahygrobiella
;;;;;;Metalasia
;;;;;;Metalejeunea
;;;;;;Metalepis
;;;;;;Metalonicera
;;;;;;Metanarthecium
;;;;;;Metaneckera
;;;;;;Metanemone
;;;;;;Metapanax
;;;;;;Metapetrocosmea
;;;;;;Metaplexis
;;;;;;Metapolypodium
;;;;;;Metaporana
;;;;;;Metarungia
;;;;;;Metasequoia
;;;;;;Metastachydium
;;;;;;Metastelma
;;;;;;Metastevia
;;;;;;Metathelypteris
;;;;;;Metatrophis
;;;;;;Metaxya
;;;;;;Metcalfia
;;;;;;Meteoridium
;;;;;;Meteoriella
;;;;;;Meteorina
;;;;;;Meteoriopsis
;;;;;;Meteorium
;;;;;;Meteoromyrtus
;;;;;;Meterana
;;;;;;Meterostachys
;;;;;;Metharme
;;;;;;Methyscophyllum
;;;;;;Methysticum
;;;;;;Metopium
;;;;;;Metrodorea
;;;;;;Metrosideros
;;;;;;Metroxylon
;;;;;;Metteniusa
;;;;;;Metternichia
;;;;;;Metzgeria
;;;;;;Metzgeriopsis
;;;;;;Metzlerella
;;;;;;Metzleria
;;;;;;Meum
;;;;;;Mexacanthus
;;;;;;Mexerion
;;;;;;Mexianthus
;;;;;;Meximalva
;;;;;;Mexipedium
;;;;;;Mexotis
;;;;;;Meyenia
;;;;;;Meyenia
;;;;;;Meyenia
;;;;;;Meyerafra
;;;;;;Meyeria
;;;;;;Meyerophytum
;;;;;;Meyna
;;;;;;Mezia
;;;;;;Meziella
;;;;;;Mezilaurus
;;;;;;Mezobromelia
;;;;;;Mezoneuron
;;;;;;Mezoneurum
;;;;;;Mezonevron
;;;;;;Mezzettia
;;;;;;Mezzettiopsis
;;;;;;Mibora
;;;;;;Michauxia
;;;;;;Michelia
;;;;;;Michelsonia
;;;;;;Micholitzia
;;;;;;Mickelia
;;;;;;Micklethwaitia
;;;;;;Miconia
;;;;;;Miconiastrum
;;;;;;Micractis
;;;;;;Micraira
;;;;;;Micralsopsis
;;;;;;Micrampelis
;;;;;;Micrandra
;;;;;;Micrandropsis
;;;;;;Micrantha
;;;;;;Micranthella
;;;;;;Micranthemum
;;;;;;Micranthes
;;;;;;Micrantheum
;;;;;;Micranthocereus
;;;;;;Micranthus
;;;;;;Micranthus
;;;;;;Micrargeria
;;;;;;Micrargeriella
;;;;;;Micrasepalum
;;;;;;Micrauchenia
;;;;;;Micrechites
;;;;;;Micrelium
;;;;;;Micrisophylla
;;;;;;Microbahia
;;;;;;Microberlinia
;;;;;;Microbiota
;;;;;;Microblepharis
;;;;;;Microbriza
;;;;;;Microbrochis
;;;;;;Microbryum
;;;;;;Microcachrys
;;;;;;Microcalamus
;;;;;;Microcampylopus
;;;;;;Microcarpaea
;;;;;;Microcaryum
;;;;;;Microcephala
;;;;;;Microcephalum
;;;;;;Microcerasus
;;;;;;Microchaeta
;;;;;;Microchaete
;;;;;;Microcharis
;;;;;;Microchilus
;;;;;;Microchirita
;;;;;;Microchloa
;;;;;;Microcitrus
;;;;;;Microclisia
;;;;;;Microcnemum
;;;;;;Micrococca
;;;;;;Microcodon
;;;;;;Microcoecia
;;;;;;Microcoelia
;;;;;;Microcorys
;;;;;;Microcos
;;;;;;Microcrossidium
;;;;;;Microctenidium
;;;;;;Microcybe
;;;;;;Microcycas
;;;;;;Microdactylon
;;;;;;Microdendron
;;;;;;Microderis
;;;;;;Microdesmis
;;;;;;Microdon
;;;;;;Microdracoides
;;;;;;Microdus
;;;;;;Microepidendrum
;;;;;;Microeurhynchium
;;;;;;Microgilia
;;;;;;Microglossa
;;;;;;Microgonium
;;;;;;Microgramma
;;;;;;Microgyne
;;;;;;Microgynoecium
;;;;;;Microlaena
;;;;;;Microlagenaria
;;;;;;Microlecane
;;;;;;Microlejeunea
;;;;;;Microlepia
;;;;;;Microlepidium
;;;;;;Microlepidozia
;;;;;;Microlepis
;;;;;;Microliabum
;;;;;;Microlicia
;;;;;;Microlobius
;;;;;;Microloma
;;;;;;Microlonchus
;;;;;;Microlophopsis
;;;;;;Microlophus
;;;;;;Micromeles
;;;;;;Micromelum
;;;;;;Micromeria
;;;;;;Micromitrium
;;;;;;Micromitrium
;;;;;;Micromonolepis
;;;;;;Micromyrtus
;;;;;;Micronychia
;;;;;;Microparacaryum
;;;;;;Micropera
;;;;;;Micropetalon
;;;;;;Microphilonotis
;;;;;;Micropholis
;;;;;;Microphyes
;;;;;;Microphysa
;;;;;;Microphyton
;;;;;;Micropiper
;;;;;;Micropleura
;;;;;;Microplumeria
;;;;;;Micropodium
;;;;;;Micropolypodium
;;;;;;Micropoma
;;;;;;Micropora
;;;;;;Micropsis
;;;;;;Micropteris
;;;;;;Micropterum
;;;;;;Micropterygium
;;;;;;Micropuntia
;;;;;;Micropus
;;;;;;Micropyropsis
;;;;;;Micropyrum
;;;;;;Microrhamnus
;;;;;;Microrhynchus
;;;;;;Microrphium
;;;;;;Microrrhinum
;;;;;;Microsaccus
;;;;;;Microschizaea
;;;;;;Microsciadium
;;;;;;Microsechium
;;;;;;Microselinum
;;;;;;Microseris
;;;;;;Microsorum
;;;;;;Microsperma
;;;;;;Microspermia
;;;;;;Microspermum
;;;;;;Microstachys
;;;;;;Microstaphyla
;;;;;;Microstegium
;;;;;;Microstegium
;;;;;;Microsteira
;;;;;;Microstemma
;;;;;;Microstemon
;;;;;;Microsteris
;;;;;;Microstigma
;;;;;;Microstrobilus
;;;;;;Microstylis
;;;;;;Microsyphus
;;;;;;Microtatorchis
;;;;;;Microtea
;;;;;;Microterangis
;;;;;;Microterus
;;;;;;Microthamnium
;;;;;;Microtheciella
;;;;;;Microthelys
;;;;;;Microthlaspi
;;;;;;Microthuidium
;;;;;;Microtinus
;;;;;;Microtis
;;;;;;Microtoena
;;;;;;Microtrichomanes
;;;;;;Microtropis
;;;;;;Microula
;;;;;;Microuratea
;;;;;;Mida
;;;;;;Middendorfia
;;;;;;Miediega
;;;;;;Miehea
;;;;;;Mielichhoferia
;;;;;;Miersia
;;;;;;Miersiella
;;;;;;Mikania
;;;;;;Mikaniopsis
;;;;;;Mila
;;;;;;Mildbraedia
;;;;;;Mildbraediodendron
;;;;;;Mildea
;;;;;;Mildeella
;;;;;;Mildella
;;;;;;Milhania
;;;;;;Milicia
;;;;;;Milium
;;;;;;Miliusa
;;;;;;Milla
;;;;;;Millania
;;;;;;Millefolium
;;;;;;Milleria
;;;;;;Milletia
;;;;;;Millettia
;;;;;;Milligania
;;;;;;Millina
;;;;;;Millingtonia
;;;;;;Millotia
;;;;;;Millspaughia
;;;;;;Milnea
;;;;;;Miltianthus
;;;;;;Miltitzia
;;;;;;Miltonia
;;;;;;Miltonidium
;;;;;;Miltoniopsis
;;;;;;Mimetanthe
;;;;;;Mimetes
;;;;;;Mimetophytum
;;;;;;Mimophytum
;;;;;;Mimosa
;;;;;;Mimosopsis
;;;;;;Mimozyganthus
;;;;;;Mimulicalyx
;;;;;;Mimulopsis
;;;;;;Mimulus
;;;;;;Mimusops
;;;;;;Minaria
;;;;;;Minasia
;;;;;;Minkelersia
;;;;;;Minquartia
;;;;;;Minthostachys
;;;;;;Minuartia
;;;;;;Minuria
;;;;;;Minythodes
;;;;;;Mionandra
;;;;;;Miquelia
;;;;;;Miquelina
;;;;;;Miqueliopuntia
;;;;;;Mirabilis
;;;;;;Miradoria
;;;;;;Miraglossum
;;;;;;Mirandea
;;;;;;Mirasolia
;;;;;;Mirbelia
;;;;;;Mirbella
;;;;;;Miricacalia
;;;;;;Mirkooa
;;;;;;Mironia
;;;;;;Mirtana
;;;;;;Misanteca
;;;;;;Misbrookea
;;;;;;Miscanteca
;;;;;;Miscanthidium
;;;;;;Miscanthus
;;;;;;Mischarytera
;;;;;;Mischobulbum
;;;;;;Mischocarpus
;;;;;;Mischocodon
;;;;;;Mischodon
;;;;;;Mischogyne
;;;;;;Mischopleura
;;;;;;Miscolobium
;;;;;;Misodendrum
;;;;;;Misopates
;;;;;;Mistyllus
;;;;;;Mitchella
;;;;;;Mitella
;;;;;;Mitellopsis
;;;;;;Mitesia
;;;;;;Mithridatea
;;;;;;Mitina
;;;;;;Mitolepis
;;;;;;Mitostax
;;;;;;Mitostemma
;;;;;;Mitostigma
;;;;;;Mitracarpus
;;;;;;Mitragyna
;;;;;;Mitragyne
;;;;;;Mitranthes
;;;;;;Mitranthus
;;;;;;Mitrantia
;;;;;;Mitraria
;;;;;;Mitrasacme
;;;;;;Mitrasacmopsis
;;;;;;Mitrastemma
;;;;;;Mitrastemon
;;;;;;Mitrella
;;;;;;Mitreola
;;;;;;Mitrephora
;;;;;;Mitriostigma
;;;;;;Mitrobryum
;;;;;;Mitrocereus
;;;;;;Mitrophyllum
;;;;;;Mittenia
;;;;;;Mittenothamnium
;;;;;;Mitthyridium
;;;;;;Miyabea
;;;;;;Miyakea
;;;;;;Miyamayomena
;;;;;;Mizutania
;;;;;;Mkilua
;;;;;;Mnemion
;;;;;;Mnemosilla
;;;;;;Mnesiteon
;;;;;;Mnesithea
;;;;;;Mniadelphus
;;;;;;Mniarum
;;;;;;Mniobryoides
;;;;;;Mniobryum
;;;;;;Mniochloa
;;;;;;Mniodendron
;;;;;;Mniodes
;;;;;;Mnioloma
;;;;;;Mniomalia
;;;;;;Mniopsis
;;;;;;Mnium
;;;;;;Mnium
;;;;;;Moacroton
;;;;;;Mobilabium
;;;;;;Mocinia
;;;;;;Mocinnodaphne
;;;;;;Mocquerysia
;;;;;;Modanthos
;;;;;;Modecca
;;;;;;Modesta
;;;;;;Modiola
;;;;;;Modiolastrum
;;;;;;Moehringia
;;;;;;Moenchia
;;;;;;Moenkemeyera
;;;;;;Moerckia
;;;;;;Moerenhoutia
;;;;;;Moerkensteinia
;;;;;;Mogiphanes
;;;;;;Mogoltavia
;;;;;;Mohavea
;;;;;;Mohlana
;;;;;;Mohria
;;;;;;Mokof
;;;;;;Moldenhauera
;;;;;;Moldenhawera
;;;;;;Molendoa
;;;;;;Molina
;;;;;;Molinadendron
;;;;;;Molinaea
;;;;;;Molineria
;;;;;;Molinia
;;;;;;Molkenboeria
;;;;;;Mollia
;;;;;;Mollia
;;;;;;Mollinedia
;;;;;;Molloya
;;;;;;Mollugo
;;;;;;Molongum
;;;;;;Molopanthera
;;;;;;Molopospermum
;;;;;;Molospermum
;;;;;;Molpadia
;;;;;;Moltkia
;;;;;;Moltkiopsis
;;;;;;Moluccella
;;;;;;Momisia
;;;;;;Momordica
;;;;;;Mona
;;;;;;Monachanthus
;;;;;;Monachather
;;;;;;Monachne
;;;;;;Monachosorella
;;;;;;Monachosorum
;;;;;;Monactis
;;;;;;Monadenium
;;;;;;Monandriella
;;;;;;Monanthes
;;;;;;Monanthochloe
;;;;;;Monanthocitrus
;;;;;;Monanthotaxis
;;;;;;Monarda
;;;;;;Monardella
;;;;;;Monarrhenus
;;;;;;Mondia
;;;;;;Monechma
;;;;;;Monelasmum
;;;;;;Monelytrum
;;;;;;Monencyanthes
;;;;;;Monenteles
;;;;;;Moneses
;;;;;;Monetia
;;;;;;Moniera
;;;;;;Moniera
;;;;;;Monilaria
;;;;;;Monilistus
;;;;;;Monimia
;;;;;;Monimiopsis
;;;;;;Monimopetalum
;;;;;;Monizia
;;;;;;Monnina
;;;;;;Monocarpia
;;;;;;Monocarpus
;;;;;;Monocephalium
;;;;;;Monocera
;;;;;;Monochaetum
;;;;;;Monochasma
;;;;;;Monochilus
;;;;;;Monochlaena
;;;;;;Monochoria
;;;;;;Monoclea
;;;;;;Monococcus
;;;;;;Monocosmia
;;;;;;Monocostus
;;;;;;Monocranum
;;;;;;Monocryphaea
;;;;;;Monoculus
;;;;;;Monocyclanthus
;;;;;;Monocymbium
;;;;;;Monodactylopsis
;;;;;;Monodia
;;;;;;Monodora
;;;;;;Monogereion
;;;;;;Monogonia
;;;;;;Monogramma
;;;;;;Monogynella
;;;;;;Monolena
;;;;;;Monolepis
;;;;;;Monolluma
;;;;;;Monolopia
;;;;;;Monomelangium
;;;;;;Monomeria
;;;;;;Monoon
;;;;;;Monopera
;;;;;;Monopetalanthus
;;;;;;Monopholis
;;;;;;Monophyllaea
;;;;;;Monophyllanthe
;;;;;;Monophyllorchis
;;;;;;Monoporandra
;;;;;;Monoporidium
;;;;;;Monoporus
;;;;;;Monopsis
;;;;;;Monopteris
;;;;;;Monopteryx
;;;;;;Monoptilon
;;;;;;Monopyle
;;;;;;Monosalpinx
;;;;;;Monosemeion
;;;;;;Monosepalum
;;;;;;Monosis
;;;;;;Monosolenium
;;;;;;Monostemma
;;;;;;Monostichanthus
;;;;;;Monostylis
;;;;;;Monotagma
;;;;;;Monotaxis
;;;;;;Monoteles
;;;;;;Monotes
;;;;;;Monothecium
;;;;;;Monothrix
;;;;;;Monothylaceum
;;;;;;Monotoca
;;;;;;Monotrema
;;;;;;Monotropa
;;;;;;Monotropastrum
;;;;;;Monotropsis
;;;;;;Monsonia
;;;;;;Monstera
;;;;;;Montagnaea
;;;;;;Montanoa
;;;;;;Montbretia
;;;;;;Monteiroa
;;;;;;Montejacquia
;;;;;;Montezuma
;;;;;;Montia
;;;;;;Montiastrum
;;;;;;Monticalia
;;;;;;Montigena
;;;;;;Montinia
;;;;;;Montiopsis
;;;;;;Montitega
;;;;;;Montjolya
;;;;;;Montolivaea
;;;;;;Montrichardia
;;;;;;Montrouziera
;;;;;;Monttea
;;;;;;Monvillea
;;;;;;Moonia
;;;;;;Moorcroftia
;;;;;;Moquinia
;;;;;;Moquiniella
;;;;;;Mora
;;;;;;Moraea
;;;;;;Moranopteris
;;;;;;Morea
;;;;;;Morelia
;;;;;;Morella
;;;;;;Morelosia
;;;;;;Morelotia
;;;;;;Morenoa
;;;;;;Morettia
;;;;;;Morgania
;;;;;;Moricandia
;;;;;;Moriera
;;;;;;Morierina
;;;;;;Morilandia
;;;;;;Morina
;;;;;;Morinda
;;;;;;Morindopsis
;;;;;;Moringa
;;;;;;Morinia
;;;;;;Morisia
;;;;;;Morisonia
;;;;;;Morithamnus
;;;;;;Moritzia
;;;;;;Morkillia
;;;;;;Mormodes
;;;;;;Mormolyca
;;;;;;Morna
;;;;;;Morocarpus
;;;;;;Morongia
;;;;;;Moronobea
;;;;;;Morrenia
;;;;;;Morsacanthus
;;;;;;Mortonia
;;;;;;Mortoniella
;;;;;;Mortoniodendron
;;;;;;Mortoniopteris
;;;;;;Morus
;;;;;;Morysia
;;;;;;Mosannona
;;;;;;Moscharia
;;;;;;Moschifera
;;;;;;Moschkowitzia
;;;;;;Moschopsis
;;;;;;Moschosma
;;;;;;Mosdenia
;;;;;;Moseniella
;;;;;;Mosenodendron
;;;;;;Mosenthinia
;;;;;;Mosheovia
;;;;;;Mosiera
;;;;;;Mosigia
;;;;;;Mosla
;;;;;;Mosquitoxylum
;;;;;;Mossia
;;;;;;Mostacillastrum
;;;;;;Mostuea
;;;;;;Motandra
;;;;;;Motherwellia
;;;;;;Motleyia
;;;;;;Moulinsia
;;;;;;Moullava
;;;;;;Moultonianthus
;;;;;;Mourera
;;;;;;Mouretia
;;;;;;Mouriri
;;;;;;Mouroucoa
;;;;;;Moussonia
;;;;;;Moutabea
;;;;;;Moutouchi
;;;;;;Moya
;;;;;;Msuata
;;;;;;Mtonia
;;;;;;Mucoa
;;;;;;Mucronea
;;;;;;Mucuna
;;;;;;Muehlbergella
;;;;;;Muehlenbeckia
;;;;;;Muellera
;;;;;;Muelleramra
;;;;;;Muelleranthus
;;;;;;Muellerargia
;;;;;;Muelleriella
;;;;;;Muellerina
;;;;;;Muellerobryum
;;;;;;Muellerolimon
;;;;;;Muhlenbergia
;;;;;;Muilla
;;;;;;Muiria
;;;;;;Muiriantha
;;;;;;Mukdenia
;;;;;;Mukia
;;;;;;Muldera
;;;;;;Mulgedium
;;;;;;Mulguraea
;;;;;;Mulinum
;;;;;;Mullaghera
;;;;;;Multidentia
;;;;;;Munbya
;;;;;;Munchusia
;;;;;;Mundia
;;;;;;Mundtia
;;;;;;Mundulea
;;;;;;Munnozia
;;;;;;Munroa
;;;;;;Munrochloa
;;;;;;Munronia
;;;;;;Muntingia
;;;;;;Munzothamnus
;;;;;;Muraltia
;;;;;;Muratina
;;;;;;Murbeckiella
;;;;;;Murchisonia
;;;;;;Murdannia
;;;;;;Muretia
;;;;;;Murex
;;;;;;Muricaria
;;;;;;Muricococcum
;;;;;;Murraea
;;;;;;Murraya
;;;;;;Murrithia
;;;;;;Murtughas
;;;;;;Murucuja
;;;;;;Musa
;;;;;;Musanga
;;;;;;Muscadinia
;;;;;;Muscarella
;;;;;;Muscari
;;;;;;Muscaria
;;;;;;Muschleria
;;;;;;Muscoflorschuetzia
;;;;;;Muscoherzogia
;;;;;;Museniopsis
;;;;;;Musenium
;;;;;;Musgravea
;;;;;;Musilia
;;;;;;Musineon
;;;;;;Musineum
;;;;;;Mussaenda
;;;;;;Mussaendopsis
;;;;;;Musschia
;;;;;;Mussinia
;;;;;;Musteron
;;;;;;Mutafinia
;;;;;;Mutellina
;;;;;;Mutisia
;;;;;;Mutisiopersea
;;;;;;Muxiria
;;;;;;Mwasumbia
;;;;;;Myagrum
;;;;;;Myanmaria
;;;;;;Myanthus
;;;;;;Mycaranthes
;;;;;;Mycerinus
;;;;;;Mycetanthe
;;;;;;Mycetia
;;;;;;Myconia
;;;;;;Myconia
;;;;;;Myctanthes
;;;;;;Myctirophora
;;;;;;Myginda
;;;;;;Myladenia
;;;;;;Myllanthus
;;;;;;Myobroma
;;;;;;Myodocarpus
;;;;;;Myonima
;;;;;;Myopordon
;;;;;;Myoporum
;;;;;;Myoschilos
;;;;;;Myosotidium
;;;;;;Myosotis
;;;;;;Myostemma
;;;;;;Myosurus
;;;;;;Myoxanthus
;;;;;;Myracrodruon
;;;;;;Myrceugenia
;;;;;;Myrcia
;;;;;;Myrcialeucus
;;;;;;Myrcianthes
;;;;;;Myrciaria
;;;;;;Myriactis
;;;;;;Myrialepis
;;;;;;Myriandra
;;;;;;Myrianthus
;;;;;;Myriaspora
;;;;;;Myrica
;;;;;;Myricanthe
;;;;;;Myricaria
;;;;;;Myrinia
;;;;;;Myriocarpa
;;;;;;Myriocephalus
;;;;;;Myriocladus
;;;;;;Myriocolea
;;;;;;Myriocoleopsis
;;;;;;Myriodon
;;;;;;Myrioneuron
;;;;;;Myriophyllum
;;;;;;Myriopteris
;;;;;;Myriopteron
;;;;;;Myriopus
;;;;;;Myriorrhynchus
;;;;;;Myriostachya
;;;;;;Myriotheca
;;;;;;Myripnois
;;;;;;Myristica
;;;;;;Myrmechis
;;;;;;Myrmecia
;;;;;;Myrmecodia
;;;;;;Myrmecoides
;;;;;;Myrmecolaelia
;;;;;;Myrmeconauclea
;;;;;;Myrmecophila
;;;;;;Myrmecophila
;;;;;;Myrmecopteris
;;;;;;Myrmecostylum
;;;;;;Myrmedone
;;;;;;Myrmephytum
;;;;;;Myrmidone
;;;;;;Myrobalanifera
;;;;;;Myrobalanus
;;;;;;Myrocarpus
;;;;;;Myrosma
;;;;;;Myrosmodes
;;;;;;Myrospermum
;;;;;;Myrothamnus
;;;;;;Myroxylon
;;;;;;Myrrhidendron
;;;;;;Myrrhidium
;;;;;;Myrrhinium
;;;;;;Myrrhis
;;;;;;Myrrhodes
;;;;;;Myrrhoides
;;;;;;Myrsine
;;;;;;Myrtastrum
;;;;;;Myrtekmania
;;;;;;Myrtella
;;;;;;Myrteola
;;;;;;Myrtgerocactus
;;;;;;Myrtillocactus
;;;;;;Myrtillocereus
;;;;;;Myrtillus
;;;;;;Myrtophyllum
;;;;;;Myrtopsis
;;;;;;Myrtus
;;;;;;Mysanthus
;;;;;;Myscolus
;;;;;;Mystacidium
;;;;;;Mystacinus
;;;;;;Mystropetalon
;;;;;;Mystroxylon
;;;;;;Mytilaria
;;;;;;Mytilopsis
;;;;;;Myurella
;;;;;;Myuriopsis
;;;;;;Myurium
;;;;;;Myuroclada
;;;;;;Myxochlamys
;;;;;;Myxopappus
;;;;;;Myxopyrum
;;;;;;Myzodendron
;;;;;;Myzorrhiza
;;;;;;Myzorrhiza
;;;;;;Nabaluia
;;;;;;Nabalus
;;;;;;Nablonium
;;;;;;Nachtigalia
;;;;;;Nacrea
;;;;;;Naegelia
;;;;;;Nageia
;;;;;;Nagelia
;;;;;;Nageliella
;;;;;;Naiocrene
;;;;;;Najas
;;;;;;Nama
;;;;;;Namacodon
;;;;;;Namaquanthus
;;;;;;Namaquanula
;;;;;;Namataea
;;;;;;Namation
;;;;;;Namibia
;;;;;;Namophila
;;;;;;Nananthea
;;;;;;Nananthus
